Add_small
Instance: full_config.json
Objective: 432.6613227819656

Route 0:
depot 0
pick J10
pick J16
pick J106
pick J2
pick J54
pick J52
drop J54
drop J16
drop J10
drop J2
drop J106
pick J26
pick J28
pick J30
drop J52
drop J26
drop J28
drop J30
pick J32
drop J32
pick J34
drop J34
depot 0


Route 1:
depot 0
pick J96
pick J66
pick J92
pick J68
pick J72
pick J82
pick J90
drop J66
drop J68
drop J96
drop J92
drop J72
drop J82
pick J98
drop J90
pick J74
drop J98
pick J76
drop J74
drop J76
pick J20
drop J20
depot 0


Route 2:
depot 0
pick J70
pick J64
pick J80
pick J88
drop J80
pick J84
drop J64
drop J70
drop J88
pick J78
drop J84
drop J78
pick J22
pick J14
drop J22
pick J50
pick J108
drop J14
pick J12
drop J50
drop J108
drop J12
depot 0


Route 3:
depot 0
pick J48
pick J46
pick J42
pick J38
pick J36
drop J38
drop J36
drop J48
drop J46
drop J42
pick J102
pick J24
drop J102
pick J18
pick J100
drop J24
drop J100
pick J8
drop J18
drop J8
pick J110
drop J110
depot 0


Route 4:
depot 0
pick J4
pick J40
drop J4
pick J6
drop J40
pick J44
drop J6
drop J44
pick J56
pick J86
pick J94
pick J60
pick J58
drop J86
drop J94
drop J60
pick J62
drop J58
drop J56
drop J62
pick J112
drop J112
depot 0


Route 5:
depot 0
pick J116
pick J114
pick J104
drop J114
drop J104
drop J116
pick J118
drop J118
depot 0


Route 6:
depot 0
pick J120
drop J120
depot 0

