Big
Instance: full_config.json
Objective: 4786.282273181166

Route 0:
depot 0
pick J94
pick J368
pick J268
pick J292
pick J302
pick J322
pick J336
pick J332
pick J300
pick J243
pick J255
pick J378
drop J94
drop J292
drop J302
drop J322
drop J336
drop J332
drop J300
drop J368
drop J268
drop J243
drop J255
pick J215
pick J148
drop J378
drop J148
pick J1227
drop J215
drop J1227
depot 0


Route 1:
depot 0
pick J1417
pick J1189
pick J1627
pick J1443
pick J197
drop J1627
drop J1443
pick J1407
drop J1189
drop J197
pick J1617
drop J1407
pick J1409
drop J1617
drop J1417
pick J1433
drop J1409
pick J1429
drop J1433
drop J1429
depot 0


Route 2:
depot 0
pick J1789
pick J1725
pick J1811
pick J1869
pick J1551
pick J1145
drop J1725
drop J1811
drop J1869
drop J1551
pick J1829
drop J1145
pick J1805
drop J1829
pick J1046
drop J1805
pick J1058
drop J1046
pick J1034
drop J1058
pick J1747
drop J1034
pick J1325
drop J1747
pick J1557
drop J1789
drop J1325
drop J1557
depot 0


Route 3:
depot 0
pick J1633
pick J1635
pick J1889
pick J1094
pick J1643
drop J1889
drop J1094
pick J510
drop J1633
drop J1635
pick J999
pick J160
drop J999
drop J510
pick J227
drop J1643
drop J160
pick J1759
drop J227
pick J1677
drop J1759
drop J1677
pick J1905
pick J116
drop J1905
drop J116
pick J709
pick J191
drop J709
drop J191
depot 0


Route 4:
depot 0
pick J434
pick J480
drop J434
pick J1843
pick J1331
pick J1587
pick J1159
pick J1861
pick J1721
drop J1861
pick J1173
drop J480
drop J1843
drop J1331
drop J1587
pick J42
drop J1159
drop J1721
drop J42
pick J1825
pick J1064
drop J1173
pick J1054
drop J1064
drop J1054
drop J1825
pick J1359
drop J1359
depot 0


Route 5:
depot 0
pick J344
pick J810
pick J219
drop J810
pick J824
drop J219
pick J801
drop J344
drop J824
pick J532
pick J520
drop J801
pick J524
drop J532
pick J526
drop J524
drop J520
pick J929
drop J526
pick J558
drop J929
pick J552
drop J558
drop J552
pick J1271
drop J1271
pick J647
pick J643
drop J647
drop J643
depot 0


Route 6:
depot 0
pick J1771
pick J1897
drop J1771
pick J1767
drop J1897
pick J1687
drop J1767
pick J1769
drop J1687
pick J1265
pick J1517
pick J1267
pick J1263
pick J1527
pick J1261
pick J1525
drop J1527
drop J1261
pick J1908
drop J1525
drop J1265
drop J1263
drop J1769
drop J1517
drop J1267
drop J1908
pick J118
pick J348
drop J118
drop J348
depot 0


Route 7:
depot 0
pick J8
pick J556
drop J8
drop J556
pick J705
pick J286
pick J1689
drop J286
pick J284
drop J1689
pick J1124
pick J1899
drop J284
drop J1124
drop J705
pick J185
pick J1259
pick J1128
pick J1132
pick J1141
drop J1899
drop J1259
pick J575
drop J185
drop J575
drop J1128
drop J1132
drop J1141
pick J583
drop J583
depot 0


Route 8:
depot 0
pick J1695
pick J1697
drop J1695
pick J1696
drop J1697
pick J282
drop J1696
pick J536
pick J534
pick J1257
pick J1256
pick J1523
drop J534
pick J707
drop J1523
drop J1256
pick J1255
drop J707
drop J282
drop J1257
pick J1903
pick J718
drop J1255
drop J718
drop J536
drop J1903
depot 0


Route 9:
depot 0
pick J1239
pick J799
pick J797
drop J799
pick J1663
